edge_id,edge_type,source_obj,sink_obj,is_back_edge
1_158,1,1_144,1_62,0
1_159,1,1_61,1_62,0
1_160,1,1_62,1_63,0
1_161,1,1_63,1_64,0
1_163,1,1_162,1_64,0
1_164,1,1_64,1_65,0
1_165,2,1_76,1_65,0
1_166,2,1_70,1_65,0
1_167,1,1_45,1_48,0
1_168,2,1_47,1_48,0
1_169,1,1_24,1_48,0
1_170,2,1_43,1_48,0
1_171,1,1_23,1_49,0
1_173,1,1_172,1_49,0
1_174,1,1_28,1_50,0
1_176,1,1_175,1_50,0
1_177,1,1_29,1_51,0
1_179,1,1_178,1_51,0
1_180,1,1_49,1_52,0
1_181,1,1_16,1_52,0
1_182,1,1_52,1_53,0
1_183,2,1_66,1_53,0
1_184,2,1_80,1_53,0
1_185,1,1_23,1_28,0
1_186,1,1_23,1_29,0
1_189,1,1_23,1_32,0
1_190,1,1_87,1_32,0
1_191,1,1_140,1_32,0
1_192,1,1_32,1_33,0
1_193,1,1_4,1_34,0
1_194,1,1_144,1_34,0
1_195,1,1_33,1_34,0
1_196,1,1_34,1_35,0
1_197,1,1_5,1_36,0
1_198,1,1_144,1_36,0
1_199,1,1_33,1_36,0
1_200,1,1_36,1_37,0
1_202,1,1_35,1_38,0
1_203,1,1_37,1_38,0
1_204,1,1_29,1_38,0
1_205,1,1_6,1_39,0
1_206,1,1_144,1_39,0
1_207,1,1_38,1_39,0
1_208,1,1_39,1_40,0
1_209,1,1_40,1_41,0
1_210,1,1_162,1_41,0
1_211,1,1_41,1_42,0
1_212,2,1_54,1_42,0
1_213,2,1_47,1_42,0
1_214,1,1_15,1_44,0
1_215,1,1_39,1_44,0
1_216,1,1_24,1_45,0
1_217,1,1_172,1_45,0
1_218,2,1_54,1_46,0
1_219,1,1_15,1_67,0
1_220,1,1_62,1_67,0
1_221,1,1_48,1_68,0
1_222,1,1_172,1_68,0
1_223,2,1_76,1_69,0
1_224,1,1_178,1_84,0
1_225,2,1_83,1_84,0
1_227,1,1_226,1_84,0
1_228,2,1_80,1_84,0
1_229,1,1_84,1_85,0
1_303,2,1_22,1_27,0
1_304,2,1_27,1_83,0
1_305,2,1_27,1_43,0
1_306,2,1_43,1_47,0
1_307,2,1_43,1_54,0
1_308,2,1_47,1_54,0
1_309,2,1_54,1_80,0
1_310,2,1_54,1_66,0
1_311,2,1_66,1_70,0
1_312,2,1_66,1_76,0
1_313,2,1_70,1_76,0
1_314,2,1_76,1_27,1
1_315,2,1_80,1_86,0
1_316,2,1_83,1_86,0
1_317,4,1_40,1_44,0
1_318,4,1_40,1_67,0
1_319,4,1_44,1_63,0
1_320,4,1_44,1_67,0
1_321,4,1_63,1_67,0
1_322,4,1_19,1_24,0
1_323,4,1_20,1_23,0
1_324,4,1_19,1_73,0
1_325,4,1_20,1_74,0
1_326,4,1_23,1_74,0
1_327,4,1_24,1_73,0
1_2147483647,1,1_67,1_40,1
